stream tb=1/48000 rate=48000 channels=2 initial=0 trailing=0 preroll=0 delay=0
frame pts=201568 dts=201568 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=202592 dts=202592 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=203616 dts=203616 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=204640 dts=204640 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=205664 dts=205664 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=206688 dts=206688 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=207712 dts=207712 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=208736 dts=208736 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=209760 dts=209760 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=210784 dts=210784 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=211808 dts=211808 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=212832 dts=212832 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=213856 dts=213856 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=214880 dts=214880 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=215904 dts=215904 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=216928 dts=216928 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=217952 dts=217952 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=218976 dts=218976 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=220000 dts=220000 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=221024 dts=221024 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=222048 dts=222048 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=223072 dts=223072 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=224096 dts=224096 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=225120 dts=225120 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=226144 dts=226144 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=227168 dts=227168 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=228192 dts=228192 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=229216 dts=229216 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=230240 dts=230240 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=231264 dts=231264 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=232288 dts=232288 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=233312 dts=233312 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=234336 dts=234336 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=235360 dts=235360 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=236384 dts=236384 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=237408 dts=237408 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=238432 dts=238432 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=239456 dts=239456 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=240480 dts=240480 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=241504 dts=241504 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=242528 dts=242528 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=243552 dts=243552 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=244576 dts=244576 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=245600 dts=245600 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=246624 dts=246624 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=247648 dts=247648 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=248672 dts=248672 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=249696 dts=249696 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=250720 dts=250720 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=251744 dts=251744 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=252768 dts=252768 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=253792 dts=253792 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=254816 dts=254816 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=255840 dts=255840 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=256864 dts=256864 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=257888 dts=257888 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=258912 dts=258912 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=259936 dts=259936 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=260960 dts=260960 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=261984 dts=261984 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=263008 dts=263008 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=264032 dts=264032 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=265056 dts=265056 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=266080 dts=266080 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=267104 dts=267104 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=268128 dts=268128 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=269152 dts=269152 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=270176 dts=270176 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=271200 dts=271200 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=272224 dts=272224 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=273248 dts=273248 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=274272 dts=274272 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=275296 dts=275296 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=276320 dts=276320 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=277344 dts=277344 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=278368 dts=278368 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=279392 dts=279392 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=280416 dts=280416 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=281440 dts=281440 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=282464 dts=282464 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=283488 dts=283488 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=284512 dts=284512 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=285536 dts=285536 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=286560 dts=286560 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=287584 dts=287584 duration=704 nb=1024 side=none sr=48000 ch=2
